loss_kl,EpLenMean,TimestepsSoFar,ev_tdlam_before,EpThisIter,loss_ent,loss_pol_surr,loss_pol_entpen,EpisodesSoFar,loss_vf_loss,TimeElapsed,EpRewMean
0.0069230637,1141.6666666666667,4096,-0.41549158096313477,3,2.0723984,-0.00789769,0.0,3,0.020380238,7.053122520446777,-3.3333333333333335
0.00791268,1343.8,8192,0.6734194159507751,2,2.0658023,-0.009475494,0.0,5,0.013504169,18.01949977874756,-2.8
0.008045814,1305.0,12288,0.8253877609968185,4,2.0602076,-0.009806218,0.0,9,0.013366734,28.851487159729004,-2.888888888888889
0.009933193,1244.4615384615386,16384,0.8764586746692657,4,2.048105,-0.013320147,0.0,13,0.014462695,39.549715757369995,-2.6153846153846154
0.006013362,1250.75,20480,0.8675309866666794,3,2.03943,-0.009427963,0.0,16,0.01628672,50.246060848236084,-2.4375
0.010892078,1269.2222222222222,24576,0.8513804376125336,2,2.0253036,-0.010274774,0.0,18,0.017055223,60.81693625450134,-1.8888888888888888
0.008547222,1281.8636363636363,28672,0.8718369156122208,4,2.0137458,-0.009953434,0.0,22,0.016326029,71.77334594726562,-1.8181818181818181
0.012980029,1299.1666666666667,32768,0.8601328879594803,2,2.0176015,-0.013707229,0.0,24,0.01749546,82.51394772529602,-1.4166666666666667
0.008212969,1330.851851851852,36864,0.8537785559892654,3,1.9995178,-0.011853847,0.0,27,0.016982814,93.08917570114136,-1.1111111111111112
0.0077976855,1334.0333333333333,40960,0.8393760472536087,3,2.0160213,-0.010674969,0.0,30,0.017737065,103.85139012336731,-1.4333333333333333
0.005030688,1330.3333333333333,45056,0.8438826650381088,3,2.0141757,-0.0074493135,0.0,33,0.01852771,115.31719446182251,-1.0606060606060606
0.007302365,1345.8285714285714,49152,0.8273859173059464,2,1.9989352,-0.0108488295,0.0,35,0.019792568,126.60281491279602,-0.9428571428571428
0.006668532,1374.6052631578948,53248,0.8566808104515076,3,1.9931976,-0.009584414,0.0,38,0.017684164,137.51853895187378,-0.9210526315789473
0.007570732,1364.4146341463415,57344,0.8686222583055496,3,1.9659628,-0.010766665,0.0,41,0.015309247,148.26755475997925,-1.0975609756097562
0.0051679704,1346.5555555555557,61440,0.8947490081191063,4,1.9551781,-0.009975667,0.0,45,0.018077418,159.0079939365387,-1.0888888888888888
0.0064625535,1359.2083333333333,65536,0.8815368413925171,3,1.9508712,-0.009852567,0.0,48,0.016759561,170.01948046684265,-1.0416666666666667
0.0059151393,1365.76,69632,0.8236103653907776,2,1.9474783,-0.008973557,0.0,50,0.020876689,180.5915653705597,-1.0
0.0070179645,1379.0188679245282,73728,0.8479703366756439,3,1.932652,-0.01112014,0.0,53,0.01812362,191.2852087020874,-0.8867924528301887
0.0060849483,1367.9107142857142,77824,0.8438064306974411,3,1.926156,-0.009415167,0.0,56,0.019476162,201.73826336860657,-0.7321428571428571
0.00833405,1377.6271186440679,81920,0.870710700750351,3,1.9196116,-0.011005275,0.0,59,0.014851419,211.98959589004517,-0.7457627118644068
0.005856953,1370.3064516129032,86016,0.8484447449445724,3,1.9138535,-0.010676706,0.0,62,0.019385308,222.26711463928223,-0.5645161290322581
0.009017359,1377.03125,90112,0.847381129860878,2,1.8936088,-0.012124633,0.0,64,0.01595499,232.58094000816345,-0.453125
0.006146546,1391.1492537313434,94208,0.8405844420194626,3,1.9014512,-0.011965371,0.0,67,0.012961435,242.7683560848236,-0.3880597014925373
0.007581391,1418.4492753623188,98304,0.8345039784908295,2,1.8836285,-0.010660114,0.0,69,0.014713089,252.83821439743042,-0.37681159420289856
0.0056980005,1455.5,102400,0.8244403004646301,1,1.8636568,-0.012705311,0.0,70,0.013686193,592.0061845779419,-0.42857142857142855
0.0077702072,1475.6944444444443,106496,0.7810721695423126,2,1.8417004,-0.014128577,0.0,72,0.008959465,602.0601007938385,-0.3055555555555556
0.005854828,1484.527027027027,110592,0.8000982105731964,2,1.8428441,-0.010619836,0.0,74,0.011553431,612.3403766155243,-0.2972972972972973
0.008049693,1486.3766233766235,114688,0.8681699335575104,3,1.8560568,-0.010999774,0.0,77,0.012383614,622.5893559455872,-0.2077922077922078
0.0075509585,1495.73417721519,118784,0.8308087736368179,2,1.8217566,-0.013275197,0.0,79,0.012233374,632.7953116893768,-0.17721518987341772
0.010338736,1503.6913580246915,122880,0.829557478427887,2,1.7894214,-0.013318522,0.0,81,0.014186751,643.0394070148468,-0.16049382716049382
0.00782957,1507.4166666666667,126976,0.8649872392416,3,1.7688828,-0.011083464,0.0,84,0.012097503,653.3338828086853,-0.05952380952380952
0.0064517125,1512.7093023255813,131072,0.8474617153406143,2,1.7529678,-0.011233111,0.0,86,0.012702469,663.5406239032745,-0.011627906976744186
0.0075206887,1518.8636363636363,135168,0.8386425077915192,2,1.7607851,-0.012384642,0.0,88,0.01318869,673.8574798107147,0.0
0.0068693548,1523.2197802197802,139264,0.875467836856842,3,1.747498,-0.010912767,0.0,91,0.0104412595,684.2496562004089,-0.01098901098901099
0.0075388816,1525.063829787234,143360,0.8758035376667976,3,1.7638572,-0.014050035,0.0,94,0.009905416,694.4869179725647,0.0425531914893617
0.0068972916,1525.59375,147456,0.8941443562507629,2,1.7606666,-0.010889521,0.0,96,0.011274606,704.6003239154816,0.020833333333333332
0.010738015,1521.121212121212,151552,0.9248162657022476,3,1.7052952,-0.012747922,0.0,99,0.010216829,715.0348031520844,0.04040404040404041
0.0070592337,1521.17,155648,0.9158186316490173,4,1.725756,-0.012040362,0.0,103,0.011186309,725.1009798049927,0.27
